DATE,y_true,y_pred,abs_error
2020-01-26,2722.907,5269.090371797983,2546.1833717979825
2020-08-02,2799.188,4787.5942138355285,1988.4062138355284
2020-08-03,2824.277,4806.513354374252,1982.2363543742522
2020-05-03,1352.416,3325.99637695529,1973.5803769552901
2020-03-16,3049.951,5023.070933374659,1973.119933374659
2020-04-01,2347.989,4256.668760961656,1908.6797609616556
2020-03-31,2182.074,4044.0243274982345,1861.9503274982344
2020-08-17,4488.121,2702.6864628549174,1785.4345371450827
2020-11-01,2693.749,4452.537472868163,1758.788472868163
2020-08-16,4521.952,2795.5879627095474,1726.3640372904529
