DATE,y_true,y_pred,abs_error
2020-04-17,60650.7385,113719.60752011478,53068.86902011478
2020-04-16,60832.705500000004,113710.03755622506,52877.33205622505
2020-04-13,61110.8255,112486.49191758035,51375.66641758035
2020-04-15,60982.2775,111988.4831093193,51006.20560931931
2020-04-21,61492.04350000001,111902.17696430384,50410.133464303835
2020-04-18,60685.3675,110818.16036284418,50132.79286284418
2020-05-04,69449.01550000001,118311.01531171682,48861.999811716814
2020-04-22,61944.7555,110360.66390395803,48415.908403958034
2020-03-31,63612.655,111944.5234886114,48331.868488611406
2020-04-14,61085.3365,109174.74171394587,48089.40521394587
